year,revenue_mil,operating_income_mil
2008,14.742,-78.504
2009,111.943,-51.897
2010,116.744,-146.838
2011,204.242,-251.488
2012,413.256,-394.283
2013,2013.496,-61.283
2014,3198.356,-186.689
2015,4046.025,-716.629
2016,7000.132,-667.34
