year,revenue_mil,operating_income_mil
1996,15.75,-6.43
1997,147.79,-32.60
1998,610.00,-111.96
1999,1639.84,-605.76
2000,2762.98,-863.88
2001,3122.43,-412.26
2002,3933.00,64.00
2003,5264.00,270.00
2004,6921.00,440.00
2005,8490.00,432.00
2006,10711.00,389.00
2007,14835.00,655.00
2008,19166.00,842.00
2009,24509.00,1129.00
2010,34204.00,1406.00
2011,48077.00,862.00
2012,61093.00,676.00
2013,74452.00,745.00
2014,88988.00,178.00
2015,107006.00,2233.00
2016,135987.00,4186.00
