year,revenue_mil,operating_income_mil
2001,131.598,-24.722
2002,204.645,-17.632
2003,315.52,-7.935
2004,470.721,6.106
2005,627.695,30.994
2006,822.93,61.952
2007,1085.782,108.183
2008,1331.968,124.039
2009,1518.417,203.705
2010,1835.922,287.831
2011,2269.548,350.562
2012,2731.224,455.865
2013,3214.591,532.72
2014,4108.269,710.8
2015,4501.223,763.589
2016,3904.384,34.567
