year,revenue_mil,operating_income_mil
1997,2.359333,-3.00
1998,4.727291,-1.54
1999,11.08645,-0.83
2000,18.751455,-2.62
2001,23.27674,-1.79
2002,18.566564,-1.06
2003,20.100864,0.37
2004,27.449674,1.29
2005,33.511053,1.30
2006,39.035,2.76
2007,39.831,-10.97
2008,35.918,-14.99
2009,26.013,-10.45
2010,17.526,-6.59
2011,17.401,-7.23
2012,16.384,-2.80
2013,13.696,-1.84
2014,13.555,-1.76
2015,13.591,-0.76
